2025_03_29__14:06:45.917920: CONFIG: VISUALIZE: True, CAMERA_MODE: image, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:06:48.895789: Iter 0, FPS: -1.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:48.934135: Iter 1, FPS: 2.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 1.9726640745776647, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:48.966880: Iter 2, FPS: 26.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 26.11028523761501, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.038956: Iter 3, FPS: 30.6, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 30.552468641191126, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.150032: Iter 4, FPS: 13.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 13.876569023814092, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.261776: Iter 5, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.003569826274179, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.373846: Iter 6, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.949662331565865, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.483459: Iter 7, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.923557420227818, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.596218: Iter 8, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.123506444069823, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.705998: Iter 9, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.869100382312142, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.818954: Iter 10, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.109596092322995, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:49.930712: Iter 11, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.8535990205598, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.040562: Iter 12, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.948593056275616, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.153621: Iter 13, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.103644666701394, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.263169: Iter 14, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.843444012448238, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.374957: Iter 15, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.13139194649575, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.487588: Iter 16, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.945405841178303, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.600748: Iter 17, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.879803193448815, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.710064: Iter 18, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.837499973662197, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.821596: Iter 19, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.148001936775618, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:50.934568: Iter 20, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.958455344461175, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.044418: Iter 21, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.862297818393111, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.155993: Iter 22, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.103960825852159, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.269206: Iter 23, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.963164789325333, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.380712: Iter 24, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.833479704898076, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.491245: Iter 25, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.968051760339025, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.603560: Iter 26, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.045316034755304, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.714472: Iter 27, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.907070775712684, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.825467: Iter 28, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.016498954170528, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:51.936987: Iter 29, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.010300729751386, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:52.047555: Iter 30, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.967476545997211, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:52.159129: Iter 31, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.044340796422203, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:52.271181: Iter 32, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.963126481191408, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:52.384192: Iter 33, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.920160355589584, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:52.493987: Iter 34, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.854570941210248, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
