2025_03_29__14:19:37.687632: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:19:49.887822: Iter 0, FPS: -1.0, STATE: {'status': 'as_driving', 'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.07966280555637462, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:49.956214: Iter 1, FPS: 1.6, STATE: {'status': 'as_driving', 'speed': 0.20046596229076385, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 1.560400689592056, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.07964226053780227, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:50.012897: Iter 2, FPS: 14.6, STATE: {'status': 'as_driving', 'speed': 0.5236476063728333, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 14.626938957705613, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.07977833522847783, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:50.060992: Iter 3, FPS: 17.6, STATE: {'status': 'as_driving', 'speed': 0.8970192670822144, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 17.64930337854044, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.08070231166479502, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:50.173344: Iter 4, FPS: 20.8, STATE: {'status': 'as_driving', 'speed': 1.8300697803497314, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.795280001983194, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.07602551311201222, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:50.283463: Iter 5, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 2.7419893741607666, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.900587599922757, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.06871847412272608, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:50.391230: Iter 6, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 4.004631042480469, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.082118574336322, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.05625446847363064, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:50.497260: Iter 7, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 4.535953998565674, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.280213823286028, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.037526493579739084, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:19:50.604268: Iter 8, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 5.470522880554199, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.43288496267826, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.008525699043276047, 'throttle': 0.0, 'brake': 0.04705228805541992}
2025_03_29__14:19:50.710555: Iter 9, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 6.353252410888672, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.344493631545294, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3680198985956306, 'throttle': 0.0, 'brake': 0.1353252410888672}
2025_03_29__14:19:50.818595: Iter 10, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.136436939239502, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.4104934878451, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4902598015550538, 'throttle': 0.0, 'brake': 0.21364369392395022}
2025_03_29__14:19:50.927382: Iter 11, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 7.615053176879883, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.25651760354344, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4496757373394981, 'throttle': 0.0, 'brake': 0.2615053176879883}
2025_03_29__14:19:51.039412: Iter 12, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 7.448261737823486, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.192854027445058, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3435400661798177, 'throttle': 0.0, 'brake': 0.24482617378234864}
2025_03_29__14:19:51.152540: Iter 13, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 6.956540584564209, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.926691085235847, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.1946356158677835, 'throttle': 0.0, 'brake': 0.19565405845642092}
2025_03_29__14:19:51.264852: Iter 14, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': 6.429704666137695, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.838617364495947, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.06642853667721182, 'throttle': 0.0, 'brake': 0.14297046661376953}
2025_03_29__14:19:51.376319: Iter 15, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 6.029141426086426, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.906219675076072, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.0035697166326486562, 'throttle': 0.0, 'brake': 0.10291414260864258}
2025_03_29__14:19:51.485946: Iter 16, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.658444404602051, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.971830835278087, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.021590264048367946, 'throttle': 0.0, 'brake': 0.06584444046020509}
2025_03_29__14:19:51.597280: Iter 17, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.396694183349609, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.122474590943, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.032880098881205966, 'throttle': 0.0, 'brake': 0.03966941833496094}
2025_03_29__14:19:51.709335: Iter 18, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.1756463050842285, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.982590799187042, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.03940975219257742, 'throttle': 0.0, 'brake': 0.017564630508422854}
2025_03_29__14:19:51.818912: Iter 19, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 4.976376533508301, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.924601730745088, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.029229339496248397, 'throttle': 0.0, 'brake': 0.017564630508422854}
2025_03_29__14:19:51.931425: Iter 20, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.0865631103515625, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.126603404494212, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.03143184405597743, 'throttle': 0.0, 'brake': 0.008656311035156251}
2025_03_29__14:19:52.041156: Iter 21, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 6.049392223358154, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.888798467355, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.0322667088601033, 'throttle': 0.0, 'brake': 0.10493922233581543}
2025_03_29__14:19:52.152261: Iter 22, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 6.9183125495910645, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.113455822280937, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.03633220359496864, 'throttle': 0.0, 'brake': 0.19183125495910647}
2025_03_29__14:19:52.263925: Iter 23, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 7.555723190307617, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.001637518269167, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.031915715881536744, 'throttle': 0.0, 'brake': 0.2555723190307617}
