2025_03_29__15:54:32.280186: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__15:54:35.985019: Iter 0, FPS: -1.0, STATE: {'status': 'as_driving', 'speed': -0.000248493131948635, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.087818: Iter 1, FPS: 1.8, STATE: {'status': 'as_driving', 'speed': 0.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 1.7934431612938537, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.135698: Iter 2, FPS: 9.7, STATE: {'status': 'as_driving', 'speed': 0.8699386715888977, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.727117767516935, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.182657: Iter 3, FPS: 20.9, STATE: {'status': 'as_driving', 'speed': 1.200415015220642, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.90785557975963, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.286700: Iter 4, FPS: 21.3, STATE: {'status': 'as_driving', 'speed': 2.173527717590332, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 21.28666913656687, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.370759: Iter 5, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 2.7345337867736816, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.615442280579085, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.480584: Iter 6, FPS: 11.9, STATE: {'status': 'as_driving', 'speed': 3.256889581680298, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.897722179672652, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.590630: Iter 7, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 4.098325729370117, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.106668837865712, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.700044: Iter 8, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 4.9562225341796875, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.088002496094436, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__15:54:36.805140: Iter 9, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.928511142730713, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.140565784857051, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0928511142730713}
2025_03_29__15:54:36.909008: Iter 10, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 6.81379508972168, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.515813164175583, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.18137950897216798}
2025_03_29__15:54:37.018089: Iter 11, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 7.490976333618164, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.628244476327117, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.24909763336181642}
2025_03_29__15:54:37.124227: Iter 12, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 7.900092124938965, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.168338517564818, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.2900092124938965}
2025_03_29__15:54:37.233124: Iter 13, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.662178993225098, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.423009438052809, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.2662178993225098}
2025_03_29__15:54:37.340845: Iter 14, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 7.089726448059082, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.183574985001686, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.20897264480590821}
2025_03_29__15:54:37.449009: Iter 15, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 6.543951511383057, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.282863358807347, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.4524929277924935, 'throttle': 0.0, 'brake': 0.15439515113830568}
2025_03_29__15:54:37.551751: Iter 16, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 6.0520920753479, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.246701940035273, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.3036698223567144, 'throttle': 0.0, 'brake': 0.10520920753479004}
2025_03_29__15:54:37.656785: Iter 17, FPS: 9.7, STATE: {'status': 'as_driving', 'speed': 5.706237316131592, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.73377705371523, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.18857540815685858, 'throttle': 0.0, 'brake': 0.07062373161315919}
2025_03_29__15:54:37.767281: Iter 18, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 5.477883815765381, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.521559297716717, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.12704117773160806, 'throttle': 0.0, 'brake': 0.047788381576538086}
2025_03_29__15:54:37.873164: Iter 19, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.235419750213623, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.050117271870072, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.10929389906289466, 'throttle': 0.0, 'brake': 0.023541975021362307}
2025_03_29__15:54:37.982058: Iter 20, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 5.094808578491211, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.44488630478155, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.22011062629603356, 'throttle': 0.0, 'brake': 0.009480857849121095}
2025_03_29__15:54:38.091402: Iter 21, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 4.917933464050293, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.184459811594266, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.2623420867595988, 'throttle': 0.0, 'brake': 0.009480857849121095}
2025_03_29__15:54:38.201885: Iter 22, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 4.972282409667969, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.146864798026828, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.2523327689764732, 'throttle': 0.0, 'brake': 0.009480857849121095}
2025_03_29__15:54:38.309401: Iter 23, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.9286932945251465, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.051796955760768, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.19780935890402895, 'throttle': 0.0, 'brake': 0.09286932945251465}
2025_03_29__15:54:38.416646: Iter 24, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 6.81168270111084, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.301287538419915, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.18073375184272755, 'throttle': 0.0, 'brake': 0.181168270111084}
2025_03_29__15:54:38.520356: Iter 25, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 7.621170520782471, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.325255292043426, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.08322204928405097, 'throttle': 0.0, 'brake': 0.2621170520782471}
2025_03_29__15:54:38.627061: Iter 26, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 8.105743408203125, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.642743177690415, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.0329320355505105, 'throttle': 0.0, 'brake': 0.31057434082031254}
2025_03_29__15:54:38.733227: Iter 27, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.741703033447266, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.37262070229226, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.19817782649686627, 'throttle': 0.0, 'brake': 0.2741703033447266}
2025_03_29__15:54:38.840810: Iter 28, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.203143119812012, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.41966577657202, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.12000146470896422, 'throttle': 0.0, 'brake': 0.2203143119812012}
2025_03_29__15:54:38.945057: Iter 29, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 6.665157318115234, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.294794716046209, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.046483683735740355, 'throttle': 0.0, 'brake': 0.16651573181152346}
2025_03_29__15:54:39.052364: Iter 30, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 6.188343524932861, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.594831885291278, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.007801905603782799, 'throttle': 0.0, 'brake': 0.11883435249328614}
2025_03_29__15:54:39.158649: Iter 31, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.7965898513793945, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.319495086177973, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.005750238329966406, 'throttle': 0.0, 'brake': 0.07965898513793945}
2025_03_29__15:54:39.264883: Iter 32, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 5.491793155670166, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.409480138103389, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.005720540148205888, 'throttle': 0.0, 'brake': 0.0491793155670166}
2025_03_29__15:54:39.372276: Iter 33, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 5.251601696014404, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.413640485146649, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.008046923463341682, 'throttle': 0.0, 'brake': 0.025160169601440432}
2025_03_29__15:54:39.474464: Iter 34, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.059372901916504, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.312645985239394, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.0004541568442424926, 'throttle': 0.0, 'brake': 0.005937290191650391}
2025_03_29__15:54:39.581802: Iter 35, FPS: 9.8, STATE: {'status': 'as_driving', 'speed': 4.896213054656982, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.786696284404954, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.011500792303401952, 'throttle': 0.0, 'brake': 0.005937290191650391}
2025_03_29__15:54:39.689345: Iter 36, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.008086681365967, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.31676251529913, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.2864958432166384, 'throttle': 0.0, 'brake': 0.0008086681365966797}
2025_03_29__15:54:39.795118: Iter 37, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 5.965167045593262, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.299081022957798, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.27348305518153354, 'throttle': 0.0, 'brake': 0.09651670455932618}
2025_03_29__15:54:39.901224: Iter 38, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 6.748758316040039, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.455063525126013, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.24649444526997427, 'throttle': 0.0, 'brake': 0.1748758316040039}
2025_03_29__15:54:40.007447: Iter 39, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.356643199920654, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.42540224719101, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.18271309689633075, 'throttle': 0.0, 'brake': 0.23566431999206544}
