2025_03_29__15:59:23.855094: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__15:59:28.137527: Iter 0, FPS: -1.0, STATE: {'status': 'as_driving', 'speed': 23.272598266601562, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': -1.0, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.5, 'throttle': 0.0, 'brake': 1.8272598266601563}
2025_03_29__15:59:28.191847: Iter 1, FPS: 1.6, STATE: {'status': 'as_driving', 'speed': 23.112489700317383, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 1.6193798772850752, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.39281278189952107, 'throttle': 0.0, 'brake': 1.8112489700317385}
2025_03_29__15:59:28.254307: Iter 2, FPS: 18.4, STATE: {'status': 'as_driving', 'speed': 22.796022415161133, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 18.419013156739098, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.2604274929217798, 'throttle': 0.0, 'brake': 1.7796022415161135}
2025_03_29__15:59:28.316952: Iter 3, FPS: 16.0, STATE: {'status': 'as_driving', 'speed': 22.458375930786133, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 16.012032968501263, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 1.7458375930786134}
2025_03_29__15:59:28.425970: Iter 4, FPS: 16.0, STATE: {'status': 'as_driving', 'speed': 21.15573501586914, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 15.966014723907698, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 1.6155735015869142}
2025_03_29__15:59:28.540223: Iter 5, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 20.560781478881836, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.174013657222098, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 1.5560781478881838}
2025_03_29__15:59:28.648177: Iter 6, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': 19.537168502807617, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.753323997687653, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 1.4537168502807618}
2025_03_29__15:59:28.754069: Iter 7, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 18.46152687072754, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.263100241388525, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 1.346152687072754}
2025_03_29__15:59:28.865360: Iter 8, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 17.434328079223633, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.444992647671462, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 1.2434328079223633}
2025_03_29__15:59:28.970755: Iter 9, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 16.40481185913086, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.98534257081282, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 1.140481185913086}
2025_03_29__15:59:29.075882: Iter 10, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 15.402942657470703, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.489676143588259, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 1.0402942657470704}
2025_03_29__15:59:29.183494: Iter 11, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 14.414582252502441, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.51318003873947, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.9414582252502441}
2025_03_29__15:59:29.288028: Iter 12, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 13.424337387084961, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.29345605537559, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.8424337387084961}
2025_03_29__15:59:29.400080: Iter 13, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 12.420245170593262, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.566731900024177, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.7420245170593263}
2025_03_29__15:59:29.504765: Iter 14, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 11.4270658493042, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.925209442076525, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.64270658493042}
2025_03_29__15:59:29.610116: Iter 15, FPS: 9.6, STATE: {'status': 'as_driving', 'speed': 10.43738079071045, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.551090302953018, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.543738079071045}
2025_03_29__15:59:29.718234: Iter 16, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 9.437408447265625, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.494874859647217, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.4437408447265625}
2025_03_29__15:59:29.826071: Iter 17, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 8.451103210449219, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.249862717639404, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.3451103210449219}
2025_03_29__15:59:29.937344: Iter 18, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 7.459969520568848, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.272950768931455, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.24599695205688477}
2025_03_29__15:59:30.042842: Iter 19, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 6.474442958831787, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.988750945636356, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.14744429588317873}
2025_03_29__15:59:30.151369: Iter 20, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 5.499664783477783, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.479252924478837, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:30.258941: Iter 21, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': 4.542048931121826, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.215192320790242, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:30.368644: Iter 22, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': 3.570481777191162, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.296834340380446, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:30.474353: Iter 23, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 2.604602575302124, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.116387442293146, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:30.581082: Iter 24, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 1.6401357650756836, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.460651145165583, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:30.687477: Iter 25, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 0.587031364440918, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.370129014241831, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:30.789307: Iter 26, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -0.001033049076795578, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.399695663768973, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:30.902842: Iter 27, FPS: 9.8, STATE: {'status': 'as_driving', 'speed': 5.661866453010589e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.821000995141368, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.009401: Iter 28, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -0.001259287935681641, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.808639149189975, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.115744: Iter 29, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -0.0005764265661127865, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.384217132450168, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.224034: Iter 30, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -0.0012129475362598896, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.4047962329727, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:31.328392: Iter 31, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -0.00034925315412692726, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.235076656149335, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
